Date,Open,High,Low,Close,Adj Close,Volume
2021-01-28,11.980000,16.500000,6.510000,8.630000,8.630000,591223900
2021-01-29,14.310000,16.000000,11.600000,13.260000,13.260000,602193300
2021-02-01,17.000000,17.250000,12.910000,13.300000,13.300000,434608000
2021-02-02,9.480000,10.100000,6.000000,7.820000,7.820000,462775900
2021-02-03,8.850000,9.770000,7.890000,8.970000,8.970000,221405100
2021-02-04,8.700000,8.740000,7.000000,7.090000,7.090000,162985800
2021-02-05,7.170000,8.270000,6.520000,6.830000,6.830000,197097600
2021-02-08,6.880000,6.890000,5.750000,6.180000,6.180000,128171500
2021-02-09,5.810000,5.810000,5.260000,5.500000,5.500000,102588100
2021-02-10,5.710000,6.590000,5.450000,5.800000,5.800000,152810800
2021-02-11,5.620000,5.850000,5.470000,5.610000,5.610000,55920400
2021-02-12,5.720000,5.970000,5.520000,5.590000,5.590000,46773000
2021-02-16,6.030000,6.050000,5.490000,5.650000,5.650000,61165700
2021-02-17,5.580000,5.620000,5.320000,5.550000,5.550000,38849000
2021-02-18,5.840000,6.250000,5.460000,5.510000,5.510000,130540800
2021-02-19,5.540000,5.770000,5.510000,5.700000,5.700000,40249100
2021-02-22,5.930000,6.680000,5.750000,6.550000,6.550000,173409000
2021-02-23,6.970000,7.860000,6.010000,7.700000,7.700000,264876400
2021-02-24,7.230000,9.830000,6.990000,9.090000,9.090000,376881800
2021-02-25,10.890000,11.000000,7.850000,8.290000,8.290000,445717400
2021-02-26,8.190000,9.010000,7.630000,8.010000,8.010000,137028000
